timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,synthetic_time_ms,event,prediction_float,prediction_binary
324344818501530,2.9400797,-9.615114,2.1667526,-0.27000242,-0.8381071,1.7996091,562460,,0.027830565,0.0
324344838521223,1.1707647,-9.76116,0.40222588,-0.9492846,-0.6365216,1.7776178,562480,,0.027830565,0.0
324344858537684,0.10055647,-10.625467,0.60333884,-1.2644911,-0.8894198,1.5589281,562500,,0.027830565,0.0
324344878553261,-0.30406362,-11.243171,3.7780502,-0.9236283,-0.94806284,1.5222762,562520,,0.027830565,0.0
324344898575145,-1.1420342,-9.809045,2.5594015,-0.65240407,-0.7452556,1.3255776,562540,,0.027830565,0.0
324344918587991,-1.6328455,-8.9998045,1.3910311,-0.91874135,-0.7489208,1.0519099,562560,,0.027830565,0.0
324344938601838,-2.669535,-9.449914,2.801216,-0.82833326,-0.84299403,0.7538077,562580,,0.027830565,0.0
324344958629799,-2.6767175,-9.121908,2.6791117,-0.49357912,-0.8356637,0.56321776,562600,,0.027830565,0.0
324344978665722,-1.9177556,-8.444349,2.0470424,-0.29565877,-0.81245077,0.2968805,562620,,0.027830565,0.0
324344998686568,-1.9847932,-8.50181,1.958457,-0.23945917,-0.7464773,-0.034208454,562640,,0.027830565,0.0
324345018711106,-0.89303726,-8.283937,1.30484,-0.3933972,-0.68416905,-0.3921755,562660,,0.027830565,0.0
324345038738645,0.8451532,-8.303091,1.2737153,-0.68539083,-0.6719518,-0.7293731,562680,,0.027830565,0.0
324345058761991,1.7286136,-10.455479,1.2976574,-0.49113566,-0.72692966,-1.2913691,562700,,0.027830565,0.0
324345078784683,3.004723,-10.309433,2.2505496,-0.90041536,-0.82344633,-1.2632693,562720,,0.027830565,0.0
324345098807760,4.2760444,-9.591172,3.098097,-0.6536258,-0.874759,-1.3353515,562740,,0.027830565,0.0
324345118822145,5.7149596,-9.933543,3.2800562,-0.10140363,-0.8576548,-1.4782939,562760,,0.027830565,0.0
324345138836183,4.4915223,-10.378864,4.0438066,0.87598073,-0.96883225,-1.6126842,562780,,0.027830565,0.0
324345158846798,3.2992098,-9.050082,4.0462008,1.8374827,-1.0445796,-1.423316,562800,,0.027830565,0.0
324345178861106,3.5913026,-7.5082164,2.705448,1.7507398,-1.0348058,-1.3952162,562820,,0.027830565,0.0
324345198875644,4.4316673,-8.585608,1.7932571,1.0592403,-0.9126327,-1.4123205,562840,,0.027830565,0.0
324345218880760,5.0038815,-9.847352,2.6144683,0.95539325,-0.9297369,-1.4269812,562860,,0.027830565,0.0
324345238896952,4.429273,-9.332599,2.719813,1.1496484,-0.81122905,-1.1117748,562880,,0.027830565,0.0
324345258914144,3.1675289,-8.564059,1.8986019,0.8332202,-0.6291912,-0.5290093,562900,,0.027830565,0.0
324345278940798,5.2600613,-8.662222,2.0350714,0.34330627,-0.5888741,-0.1685988,562920,,0.027830565,0.0
324345298972028,5.9567738,-8.892065,2.2337902,0.17348573,-0.50335294,0.02321288,562940,,0.027830565,0.0
324345318996105,6.5241995,-9.188946,2.1859062,0.21380283,-0.4605924,0.27000242,562960,,0.027830565,0.0
324345339014605,5.719748,-8.418014,2.2266076,0.4007276,-0.45081854,0.4251622,562980,,0.027830565,0.0
324345359028336,4.7764325,-8.214506,2.5689783,0.43249258,-0.49846604,0.52290064,563000,,0.027830565,0.0
324345379040374,4.474763,-7.9607205,2.920926,0.51068336,-0.5742133,0.5045747,563020,,0.027830565,0.0
324345399063067,3.775656,-7.6829934,2.908955,0.45937067,-0.57910025,0.3494149,563040,,0.027830565,0.0
